start;end;soc;länge
16754;16772;3305,54;21
16790;16815;637,00;26
16885;16907;681,72;23
17078;17099;309,20;22
17102;17112;309,20;11
17123;17144;3539,93;22
17147;17160;3539,93;14
17172;17203;348,83;32
17235;17244;3190,85;12
17264;17285;641,22;22
17288;17297;641,22;10
17317;17343;3539,93;27
17347;17357;3453,70;13
17380;17401;667,61;24
17435;17444;2841,06;12
17557;17583;673,31;27
17609;17637;3539,93;29
17655;17668;603,66;16
17717;17733;3539,93;19
17770;17785;318,64;18
17811;17837;3539,93;27
17937;17958;614,29;22
17961;17973;614,29;13
17991;18000;3539,93;12
18004;18021;3539,93;20
18048;18065;723,21;20
18145;18169;659,59;25
18209;18228;3366,39;22
18299;18309;3539,93;13
18331;18346;546,52;18
18374;18397;3539,93;24
18428;18444;310,56;19
18473;18502;3539,93;30
18519;18540;498,83;22
18543;18556;498,83;14
18570;18582;3539,93;15
18589;18599;3539,93;13
18628;18642;656,79;17
18673;18696;3539,93;24
18766;18796;3539,93;31
18822;18831;716,49;12
18867;18891;3539,93;25
18918;18937;669,39;22
18958;18984;3539,93;27
19057;19079;3539,93;23
19095;19118;345,89;24
19143;19174;3539,93;32
19189;19220;442,15;32
19238;19259;3539,93;22
19262;19271;3539,93;10
19335;19367;3539,90;33
19431;19452;3539,90;22
19455;19464;3539,90;10
19477;19504;642,62;28
19549;19581;3539,89;33
19592;19613;1970,83;22
19616;19636;1970,83;21
19644;19664;3441,70;23
19732;19754;3539,88;23
19782;19793;279,79;14
19820;19851;3539,87;32
19863;19884;428,38;22
19887;19897;428,38;11
19912;19927;3539,88;18
20017;20040;3539,89;24
20128;20138;3539,91;13
20164;20175;620,76;14
20209;20229;3539,88;23
20302;20318;3539,87;19
20394;20420;3539,87;27
20424;20440;3136,79;19
20456;20472;237,47;19
20506;20523;3539,87;20
20556;20570;440,34;17
20603;20618;3539,89;18
20713;20724;3472,90;14
20753;20762;709,78;12
20791;20802;3539,88;14
20879;20896;3539,88;20
20933;20950;580,04;20
20968;20989;3539,89;22
20992;21006;3539,89;15
21128;21146;287,83;21
21163;21193;3539,91;31
21206;21227;402,86;22
21230;21241;402,86;12
21257;21270;3539,90;16
21274;21294;3539,89;23
21448;21470;3539,92;23
21509;21518;722,03;12
21542;21574;3539,89;33
21588;21609;581,62;22
21612;21622;581,62;11
21640;21661;3539,89;22
21664;21688;3539,89;25
21691;21712;3527,76;22
21715;21736;3527,76;22
21739;21760;3527,76;22
21763;21778;3527,76;16
21791;21812;1991,88;22
21815;21833;1991,88;19
21856;21877;3297,92;22
21880;21901;3297,92;22
21904;21914;3297,92;11
21918;21939;3259,96;22
21942;21955;3259,96;14
21958;21975;3539,92;20
21990;22000;2792,78;13
22044;22056;3539,93;15
22125;22151;3539,90;27
22217;22247;3539,91;31
22313;22334;3539,92;22
22337;22346;3539,92;10
22383;22392;516,58;12
22422;22449;3539,91;28
22468;22494;281,90;27
22517;22533;3539,91;19
22608;22635;3539,93;28
22708;22733;3539,90;26
22749;22770;3348,39;22
22773;22788;3348,39;16
22797;22818;3428,32;22
22821;22839;3428,32;19
