strategie_id;zeitraum_id;strategie_typ;start_index;end_index;länge_stunden;basis_soc;max_soc_erreicht;min_soc_erreicht;gesamte_lademenge;gesamte_entlademenge;profit_euro
715;1031;Einfach;33846;33874;7.25;3539.87;3799.98;2729.98;1070.005;1070.0;15.68
451;691;Aggressiv;23866;23887;5.5;3435.01;3800.0;2190.25;1609.7375;1609.745;15.65
791;1066;Einfach;34684;34705;5.5;3453.38;3629.64;2342.03;1287.61;1287.6075;15.6
180;362;Einfach;8820;8830;2.75;3540.02;3540.0;2626.07;913.9399999999999;913.9525;15.5
712;1030;Einfach;33763;33778;4.0;3215.31;3372.41;1721.67;1795.5375;1795.54;15.5
713;1030;Aggressiv;33763;33778;4.0;3215.31;3746.94;1408.6;2700.58;2700.58;15.5
781;1061;Aggressiv;34557;34578;5.5;3159.23;3799.26;922.47;2876.8;2876.7925;15.47
710;1025;Aggressiv;33643;33664;5.5;3215.31;3800.0;2009.65;1790.3525;1790.3475;15.06
627;902;Einfach;30537;30560;6.0;343.9;2745.73;343.87;2401.8225;2401.845;15.02
755;1050;Einfach;34294;34315;5.5;3408.89;3799.97;2729.6;1070.3774999999998;1070.3675;14.99
769;1056;Entlade-Lade;34446;34467;5.5;3390.09;3390.1;2753.74;636.36;636.34;14.93
284;497;Einfach;14736;14757;5.5;3450.87;3799.98;3450.87;446.3875;446.37;14.8
497;745;Einfach;25939;25958;5.0;1806.68;1806.68;1331.07;475.61499999999995;475.6075;14.65
626;901;Einfach;30487;30510;6.0;3539.87;3799.98;2443.7;1356.3;1356.275;14.6
754;1049;Aggressiv;34270;34291;5.5;3408.89;3408.91;2745.73;663.15;663.15;14.56
495;744;Einfach;25915;25936;5.5;1806.68;2337.56;203.42;2134.125;2134.14;14.49
62;123;Einfach;2932;2953;5.5;3492.99;3799.98;3433.94;366.0275;366.04;14.22
797;1068;Aggressiv;34732;34745;3.5;3453.38;3799.12;2596.77;1642.875;1642.8775;14.2
475;723;Aggressiv;25142;25163;5.5;2964.81;3502.46;200.33;3417.7625000000003;3417.7475;14.17
812;1076;Einfach;34955;34986;8.0;3477.34;3799.98;3037.58;762.4025;762.4;14.12
813;1076;Aggressiv;34955;34986;8.0;3477.34;3800.0;3167.7;632.2975;632.2975;14.06
727;1036;Entlade-Lade;33969;33990;5.5;3402.08;3402.11;2783.84;618.2575;618.2325;14.03
516;766;Einfach;26561;26582;5.5;3539.87;3539.89;2449.45;1090.415;1090.425;14.02
311;520;Einfach;15822;15840;4.75;3539.93;3539.94;2385.6;1154.315;1154.3275;14.01
699;1008;Einfach;33218;33239;5.5;3258.91;3683.47;1242.66;2440.8175;2440.81;13.99
31;43;Einfach;1012;1033;5.5;3454.92;3799.98;3454.92;345.055;345.055;13.79
49;96;Einfach;2302;2323;5.5;3192.38;3235.53;1485.73;1867.5825;1867.585;13.65
583;848;Einfach;29041;29071;7.75;3539.87;3799.98;2289.4;1510.5925;1510.57;13.55
438;677;Einfach;23373;23391;4.75;2731.85;3799.84;2575.96;1223.8925;1223.8675;13.53
